project_name,institution_count,institution
COPLI - Creating a FAIR Open Science Pipeline for high-resolution LOFAR Imaging,1,Leiden University
Astro-DM TSP - The Astronomy Dark Matter Test Science Project,1,The Open University
HiMAGNETOS: High Magnetic Field Open Science,1,Laboratoire National des Champs Magnétiques Intenses (CNRS)
HarDIS - Harmony in the Democratic Ideological Space,1,GESIS - Leibniz-Institute for the Social Sciences (coordinator)
FAIRification of IsoSeq Evidence-driven annotation of the biodiversity,1,Spanish National Research Council-Institute for Integrative Systems Biology
FAIRY - FAIRification of YEASTRACT+ to Support Yeast-based Bioeconomy and Health,1,INESC-ID Lisboa (coordinator); Instituto Superior Técnico - Universidade de Lisboa
ETAP - Einstein Telescope Analysis Portal,1,University of Geneva
EVA-FAIR - Implementing FAIR principles in the European Vegetation Archive data,1,Masaryk University
HEFTIE - Handling Enormous Files from Tomographic Imaging Experiments,1,University College London
LabID-PROV: Tracking and Sharing Data Provenance with RO-Crate in Lab Integrated Data,1,European Molecular Biology Laboratory - EMBL (coordinator)
STARLIGHT - Stereo Telescopes Analysis Real-time Leading-edge Innovation Gamma High-Throughput data,1,CNRS-LAPP
ioChem-BD: Open-Data for Computational Chemistry and Materials Science,1,Institut Català d'Investigació Química
VISA: User experience enhancement,1,Institut Laue-Langevin
RSOTC - The Regional State of the Climate dashboard,1,Predictia Intelligent Data Solutions SL and Consejo Superior de Investigaciones Científicas (coordinator)
PNU-OpenLab - Advanced Materials Open Science Centre at the Precarpathian National University,1,Vasyl Stefanyk Precarpathian National University
"NAPMIX: Nuclear, Astro, and Particle Metadata Integration for eXperiments",1,GSI Helmholtzzentrum für Schwerionenforschung GmbH
PaN-Finder: Photon and Neutron federated knowledge finder,1,European Spallation Source
Streamlining open data policies in Rucio data management platform,1,CERN
FAIRGamma: Contribution for the FAIRisation of Gammapy,2,CNRS/Université Paris Cité
FAIRMD - Disorder to Order: Streamlining Biomolecule Simulation Re-Use with FAIR NMRlipids database,2,VTT
MADDEN - Multi-RI Access and Discovery of Data for Experiment Networking,2,Institut de Recherche en Mathématique et Physique - Université catholique de Louvain - IRMP - UCLouvain
GASPS - Gaia All-Sky Parameters for Stars Service,2,ACRI-ST SAS
"FAIR-EO - FAIR, Open and AI-Ready Earth Observation Resources",2,Bias Variance Labs d.o.o.
FAIRMD - Disorder to Order: Streamlining Biomolecule Simulation Re-Use with FAIR NMRlipids database,2,University of Bergen
"FAIR-EO - FAIR, Open and AI-Ready Earth Observation Resources",2,Jožef Stefan Institute
FAIRGamma: Contribution for the FAIRisation of Gammapy,2,APC
AQUANAVI: Navigating Grand Challenges and their Mitigation using Aquatic Experimental RIs,2,Open Knowledge Maps (OKMaps)
AQUANAVI: Navigating Grand Challenges and their Mitigation using Aquatic Experimental RIs,2,Leibniz Institute of Freshwater Ecology and Inland Fisheries (IGB)
BIO-CODES - Enhancing AI-Readiness of Bioimaging Data with Content-Based Identifiers,2,Leiden University
BIO-CODES - Enhancing AI-Readiness of Bioimaging Data with Content-Based Identifiers,2,ISCC Foundation
DraCorOS. Fostering Open Science in Digital Humanities by connecting the “DraCor” Ecosystem to EOSC,2,University of Potsdam (coordinator)
DraCorOS. Fostering Open Science in Digital Humanities by connecting the “DraCor” Ecosystem to EOSC,2,Freie Universität Berlin
Opravidlo 2.0 – Public Online Proofreading Service,2,Masaryk University
OPAL - Ontology Portal for Astronomy Linked-data,2,INRAE
OSPARK Bootcamp - Open Science Promotion and Advocacy for Research Knowledge Bootcamp,2,Digital Research Academy
OPAL - Ontology Portal for Astronomy Linked-data,2,OBS-PARIS
MatScatNet - A Cloud Database for Sharing X-ray & Neutron Scattering Data for Materials Research,2,Momentum Transfer - A Venture of Chemovator GmbH
OpenCorrAM - Open Corrosion Data for Additively Manufactured Alloys,2,Padova University
OpenCorrAM - Open Corrosion Data for Additively Manufactured Alloys,2,Vrije Universiteit Brussel
OSPARK Bootcamp - Open Science Promotion and Advocacy for Research Knowledge Bootcamp,2,OLS
MC-ReDD - Metadata Capture and validation for Re-use of raw Diffraction Data,2,European XFEL
MC-ReDD - Metadata Capture and validation for Re-use of raw Diffraction Data,2,International Union of Crystallography Journals
GASPS - Gaia All-Sky Parameters for Stars Service,2,University of Manchester
mTeSS-X: Scaling training portal federation for RIs through Multi-tenanting and Exchange,2,Helmholtz-Zentrum Dresden-Rossendorf
"SemantyFish: Advancing Visibility, Interoperability and Exploitability of FishBase",2,Institute of Computer Science (ICS) of the Foundation for Research and Technology - Hellas (FORTH)
Opravidlo 2.0 – Public Online Proofreading Service,2,Faculty of Informatics and Faculty of Arts
"SemantyFish: Advancing Visibility, Interoperability and Exploitability of FishBase",2,Quantitative Aquatics Inc.
mTeSS-X: Scaling training portal federation for RIs through Multi-tenanting and Exchange,2,University of Manchester
MADDEN - Multi-RI Access and Discovery of Data for Experiment Networking,2,Istituto Nazionale di Fisica Nucleare - INFN (COORDINATOR)
MatScatNet - A Cloud Database for Sharing X-ray & Neutron Scattering Data for Materials Research,2,European Synchrotron Radiation Facility (ESRF)
Implementing FAIRness in structure-based drug design through Fragalysis Cloud,3,Informatic Matters
Implementing FAIRness in structure-based drug design through Fragalysis Cloud,3,M2M Solutions
Implementing FAIRness in structure-based drug design through Fragalysis Cloud,3,Diamond Light Source (coordinator)
CODEMETASOFT,3,Laboratoire d'Annecy de Physique des Particules (LAPP)
AI-SCOPE: AI-Driven Enhancement of Surface Scattering Data for Open Science Platforms Across Europe,3,Slovak Academy of Sciences (SAS)
CODEMETASOFT,3,Universidad Politécnica de Madrid
AI-SCOPE: AI-Driven Enhancement of Surface Scattering Data for Open Science Platforms Across Europe,3,Tübingen University (UTÜB)
CODEMETASOFT,3,CNRS
AI-SCOPE: AI-Driven Enhancement of Surface Scattering Data for Open Science Platforms Across Europe,3,University of Graz
HOMEROS - Harmonising Observations from Multi-hazard Environments in Research for Open Science,4,National and Kapodistrian University of Athens
CASTAL - Case Studies Atlas of Local Sustainability Transition,4,Italian node of CESSDA ERIC)
CASTAL - Case Studies Atlas of Local Sustainability Transition,4,Knowledge and Innovation (coordinator)
HOMEROS - Harmonising Observations from Multi-hazard Environments in Research for Open Science,4,Lund University
HOMEROS - Harmonising Observations from Multi-hazard Environments in Research for Open Science,4,University of Patras
CASTAL - Case Studies Atlas of Local Sustainability Transition,4,Data for Social Science in Italy (DASSI
CASTAL - Case Studies Atlas of Local Sustainability Transition,4,University of Milano Bicocca
SHARE: Synchrotron x-ray analysis of Heritage Accessible to and Reusable by Everyone,4,Laboratoire de Photophysique et Photochimie Supramoleculaires et Macromoleculaires - CNRS
HOMEROS - Harmonising Observations from Multi-hazard Environments in Research for Open Science,4,Aristotle University of Thessaloniki (coordinator)
EHRI-KG - European Holocaust Research Infrastructure: Knowledge Graph,4,Kazerne Dossin Museum
EHRI-KG - European Holocaust Research Infrastructure: Knowledge Graph,4,Holocaust & Genocide Studies (coordinator)
EHRI-KG - European Holocaust Research Infrastructure: Knowledge Graph,4,NIOD Institute for War
SHARE: Synchrotron x-ray analysis of Heritage Accessible to and Reusable by Everyone,4,ESRF
SHARE: Synchrotron x-ray analysis of Heritage Accessible to and Reusable by Everyone,4,"CNR-Istituto di Scienze e Tecnologie Chimiche ""Giulio Natta"""
SHARE: Synchrotron x-ray analysis of Heritage Accessible to and Reusable by Everyone,4,Rijksmuseum
EHRI-KG - European Holocaust Research Infrastructure: Knowledge Graph,4,Memorial & Documentation Centre
FASCA - Facilitating Scholarly Communication Analysis through GoTriple Pipeline,5,The University Court of Abertay University (AU)
FASCA - Facilitating Scholarly Communication Analysis through GoTriple Pipeline,5,Instytut Badan Literackich Polskiej Akademii Nauk (IBL-PAN)
FASCA - Facilitating Scholarly Communication Analysis through GoTriple Pipeline,5,NET7 SRL
FASCA - Facilitating Scholarly Communication Analysis through GoTriple Pipeline,5,Foxcub
FASCA - Facilitating Scholarly Communication Analysis through GoTriple Pipeline,5,OPERAS
MORCDA - Making Open Research Data Suitable for Comparative Discourse Analysis,5,University of Erlangen-Nuremberg
MORCDA - Making Open Research Data Suitable for Comparative Discourse Analysis,5,University of Ferrara
FAIRFUN4Biodiversity - FAIR AI models for functional annotation of biodiversity genomics resources,5,IBMCP-CSIC)
FAIRFUN4Biodiversity - FAIR AI models for functional annotation of biodiversity genomics resources,5,Institute of Evolutionary Biology (CSIC-UPF)
Astro-CC - Astronomy Open Science Competence Centre Pilot,5,CNRS Strasbourg Astronomical Observatory
Astro-CC - Astronomy Open Science Competence Centre Pilot,5,Istituto Nazionale Di Astrofisica
Astro-CC - Astronomy Open Science Competence Centre Pilot,5,Observatoire de Paris
Astro-CC - Astronomy Open Science Competence Centre Pilot,5,Ruprecht-Karls-Universitaet Heidelberg
ParlaCAP - Comparing agenda settings across parliaments via the ParlaMint dataset,5,Jožef Stefan Institute
ParlaCAP - Comparing agenda settings across parliaments via the ParlaMint dataset,5,Institute for Contemporary History
ParlaCAP - Comparing agenda settings across parliaments via the ParlaMint dataset,5,Polish Academy of Sciences
PRIVAGAMS - Services for Privacy Advancement through Generative AI and Model Sanitisation,5,Medical University Graz (coordinator)
PRIVAGAMS - Services for Privacy Advancement through Generative AI and Model Sanitisation,5,Masaryk Memorial Cancer Institut
PRIVAGAMS - Services for Privacy Advancement through Generative AI and Model Sanitisation,5,Technische Universität Wien
ParlaCAP - Comparing agenda settings across parliaments via the ParlaMint dataset,5,University of Zagreb
ParlaCAP - Comparing agenda settings across parliaments via the ParlaMint dataset,5,Bulgarian Academy of Sciences
Open and FAIR Integrated Phenology Monitoring System,5,National Research Council of Italy
Open and FAIR Integrated Phenology Monitoring System,5,BlueGreen Labs (Belgium)
Open and FAIR Integrated Phenology Monitoring System,5,University of Antwerp (Belgium)
Open and FAIR Integrated Phenology Monitoring System,5,Terrasystem (Italy)
Open and FAIR Integrated Phenology Monitoring System,5,University of Tuscia (Italy) (coordinator)
PRIVAGAMS - Services for Privacy Advancement through Generative AI and Model Sanitisation,5,Biobanking and Biomolecular Resources Research Infrastructure – European Research Infrastructure Consortium - BBMRI-ERIC
PRIVAGAMS - Services for Privacy Advancement through Generative AI and Model Sanitisation,5,Masaryk University
GOYAS - Geospatial Open-science Yielding ApplicationS: innovative and FAIR remote-sensing data,5,Spanish National Research Council
MORCDA - Making Open Research Data Suitable for Comparative Discourse Analysis,5,CLARIN-CH
MORCDA - Making Open Research Data Suitable for Comparative Discourse Analysis,5,Zurich University of Applied Sciences
FAIRFUN4Biodiversity - FAIR AI models for functional annotation of biodiversity genomics resources,5,CABD-CSIC)
GOYAS - Geospatial Open-science Yielding ApplicationS: innovative and FAIR remote-sensing data,5,ICMAN-CSIC (Marine Science Institute of Andalusia)
MORCDA - Making Open Research Data Suitable for Comparative Discourse Analysis,5,University of Warsaw
GOYAS - Geospatial Open-science Yielding ApplicationS: innovative and FAIR remote-sensing data,5,ICM-CSIC (Marine Science Institute)
FAIRFUN4Biodiversity - FAIR AI models for functional annotation of biodiversity genomics resources,5,Institute of Plant Molecular and Cell Biology (Aureliano Bombarely
FAIRFUN4Biodiversity - FAIR AI models for functional annotation of biodiversity genomics resources,5,Andalusian Center of Developmental Biology (Ana Rojas
Astro-CC - Astronomy Open Science Competence Centre Pilot,5,Instituto Nacional de Tecnica Aeroespacial
GOYAS - Geospatial Open-science Yielding ApplicationS: innovative and FAIR remote-sensing data,5,IFCA-CSIC (Physics Institute of Cantabria)
GOYAS - Geospatial Open-science Yielding ApplicationS: innovative and FAIR remote-sensing data,5,EBD-CSIC (Doñana Biological Station)
ONTOLISST - Thematic ontologies in social science research data,6,and Tampere University
ONTOLISST - Thematic ontologies in social science research data,6,Fondation Nationale des Sciences Politiques
ONTOLISST - Thematic ontologies in social science research data,6,Research Documentation Centre
ONTOLISST - Thematic ontologies in social science research data,6,HUN-REN Centre for Social Sciences (coordinator)
ONTOLISST - Thematic ontologies in social science research data,6,Center for Socio-political Data
Findable Big Data from Various Material Characterisation Techniques,6,Helmholtz-Zentrum Berlin für Materialien und Energie (HZB)
Findable Big Data from Various Material Characterisation Techniques,6,Chemistry
ONTOLISST - Thematic ontologies in social science research data,6,Finnish Social Science Data Archive
Findable Big Data from Various Material Characterisation Techniques,6,European Synchrotron Radiation Facility (ESRF)
Findable Big Data from Various Material Characterisation Techniques,6,and Astronomy e.V. (FAIR-DI)
Findable Big Data from Various Material Characterisation Techniques,6,Materials Science
Findable Big Data from Various Material Characterisation Techniques,6,FAIR Data Infrastructure for Physics
AMIS - Advanced Metadata Intelligent System,7,University of Madrid Complutense
RISKY - Wildlife Mortality from Energy and Transport Infrastructure,7,Portuguese Node of GBIF hosted by Instituto Superior de Agronomia (GBIF.PT-ISA)
RISKY - Wildlife Mortality from Energy and Transport Infrastructure,7,Spanish node of GBIF hosted by Consejo Superior de Investigaciones Científicas (GBIF.ES-CSIC)
RISKY - Wildlife Mortality from Energy and Transport Infrastructure,7,Renewables Grid Initiative (RGI)
RISKY - Wildlife Mortality from Energy and Transport Infrastructure,7,Climat et territoire de demain (CEREMA)
RISKY - Wildlife Mortality from Energy and Transport Infrastructure,7,CIBIO - Biopolis (coordinator)
AMIS - Advanced Metadata Intelligent System,7,University AL. I. Cuza
RISKY - Wildlife Mortality from Energy and Transport Infrastructure,7,French Biodiversity Office (OFB)
RISKY - Wildlife Mortality from Energy and Transport Infrastructure,7,UMR – Centre d’Ecologie Fonctionnelle et Evolutive
AMIS - Advanced Metadata Intelligent System,7,ARIANE Consortium of the Huma-Num infrastructure
AMIS - Advanced Metadata Intelligent System,7,University of Lyon
AMIS - Advanced Metadata Intelligent System,7,University of Sorbonne Nouvelle
AMIS - Advanced Metadata Intelligent System,7,CNRS
AMIS - Advanced Metadata Intelligent System,7,University of Poitiers
ARTICYST - Devising Open Science practices to promote research and treatment in cystic kidney disease,8,Institute for Biomedical Informatics / University Hospital Cologne (coordinator)
ARTICYST - Devising Open Science practices to promote research and treatment in cystic kidney disease,8,University of Groningen
ARTICYST - Devising Open Science practices to promote research and treatment in cystic kidney disease,8,University Medical Center Groningen
ARTICYST - Devising Open Science practices to promote research and treatment in cystic kidney disease,8,Faculty of Medicine and University Hospital Cologne
ARTICYST - Devising Open Science practices to promote research and treatment in cystic kidney disease,8,Translational Nephrology
ARTICYST - Devising Open Science practices to promote research and treatment in cystic kidney disease,8,Cologne
ARTICYST - Devising Open Science practices to promote research and treatment in cystic kidney disease,8,Groningen
ARTICYST - Devising Open Science practices to promote research and treatment in cystic kidney disease,8,Department of Nephrology
FSD - Federation of Solar Data,8,Istituto ricerche solari Aldo e Cele Daccò (IRSOL)
FSD - Federation of Solar Data,8,Leibniz-Institut fuer Sonnenphysik (KIS)
FSD - Federation of Solar Data,8,Astronomical Institute of Slovak Academy of Sciences
FSD - Federation of Solar Data,8,Stockholm University (SU)
FSD - Federation of Solar Data,8,Instituto de Astrofisica de Canarias (IAC)
FSD - Federation of Solar Data,8,Istituto Nazionale di Astrofisica (INAF)
FSD - Federation of Solar Data,8,University of Oslo (UiO)
FSD - Federation of Solar Data,8,Royal Observatory of Belgium (ROB)
OASIS - Open Audiovisual Science Innovation Scheme,10,Institut Catholique de Paris (coordinator)
OASIS - Open Audiovisual Science Innovation Scheme,10,Maison des Sciences de l’Homme Paris Nord
OASIS - Open Audiovisual Science Innovation Scheme,10,l’analyse Et l’archive de la Vidéo appliquées aux Activités Scientifiques
OASIS - Open Audiovisual Science Innovation Scheme,10,DARIAH Working Group Theatralia
OASIS - Open Audiovisual Science Innovation Scheme,10,DARIAH Working Group Visual Media and Interactivity
OASIS - Open Audiovisual Science Innovation Scheme,10,Institute of Ethnology and Folklore Research
OASIS - Open Audiovisual Science Innovation Scheme,10,Consortium Huma-Num pour l’ANnotation
OASIS - Open Audiovisual Science Innovation Scheme,10,Universitatea din Craiova
OASIS - Open Audiovisual Science Innovation Scheme,10,Institut des Hautes Études des Communications Sociales
OASIS - Open Audiovisual Science Innovation Scheme,10,Université de Lorraine
CDIF-4-XAS: Describing X-Ray Spectroscopy Data for Cross-Domain Use,12,the Committee on Data of the International Science Council
AMBCAT - Digital Amber Catalogue,12,Helmholtz-Zentrum Hereon
AMBCAT - Digital Amber Catalogue,12,Deutsches Elektronen Synchrotron
AMBCAT - Digital Amber Catalogue,12,Biocenter – Faculty of Biology - Ludwig-Maximillians-Universität München (LMU)
AMBCAT - Digital Amber Catalogue,12,Phyletisches Museum - Friedrich-Schiller-Universität Jena (FSU)
CDIF-4-XAS: Describing X-Ray Spectroscopy Data for Cross-Domain Use,12,UKRI
CDIF-4-XAS: Describing X-Ray Spectroscopy Data for Cross-Domain Use,12,Germany (unfunded partner).
CDIF-4-XAS: Describing X-Ray Spectroscopy Data for Cross-Domain Use,12,Germany (unfunded partner).Helmholtz Metadata Collaboration (HMC) Hub Matter
AMBCAT - Digital Amber Catalogue,12,Estación Biológica de Doñana-CSIC
CDIF-4-XAS: Describing X-Ray Spectroscopy Data for Cross-Domain Use,12,STFC
CDIF-4-XAS: Describing X-Ray Spectroscopy Data for Cross-Domain Use,12,Cardiff University
CDIF-4-XAS: Describing X-Ray Spectroscopy Data for Cross-Domain Use,12,Wales
CDIF-4-XAS: Describing X-Ray Spectroscopy Data for Cross-Domain Use,12,CODATA
CDIF-4-XAS: Describing X-Ray Spectroscopy Data for Cross-Domain Use,12,UK.Helmholtz-Zentrum Berlin für Materialien und Energie GmbH
CDIF-4-XAS: Describing X-Ray Spectroscopy Data for Cross-Domain Use,12,UK.School of Computer Science and Informatics
CDIF-4-XAS: Describing X-Ray Spectroscopy Data for Cross-Domain Use,12,HZB
CDIF-4-XAS: Describing X-Ray Spectroscopy Data for Cross-Domain Use,12,France.Rutherford Appleton Laboratory
AMBCAT - Digital Amber Catalogue,12,Dr. Danilo Harms - ZFMK-LIB
AMBCAT - Digital Amber Catalogue,12,Instituto Botánico de Barcelona - Consejo Superior de Investigaciones Cientificas - CSIC-CMCNB
AMBCAT - Digital Amber Catalogue,12,Oxford University Museum of Natural History - OUMNH
AMBCAT - Digital Amber Catalogue,12,Museum für Naturkunde Berlin - MfN
AMBCAT - Digital Amber Catalogue,12,Senckenberg Institut & Naturmuseum Frankfurt (SMF)
AMBCAT - Digital Amber Catalogue,12,Leibniz Institute for the Analysis of Biodiversity Change – LIB
AMBCAT - Digital Amber Catalogue,12,Museum of Nature - Zoology
